Game Date,Location,Player 1,Side,Faction,ID,Archtype or Deckname,,Player 2,Side,Faction,ID,Archtype or Deckname,,Winner,Winner Tomthord (S/K/M),Player 1 Score,Player 2 Score,Winning Side,,Notes,Was it fun,What Could I of done better?,Why did a loose,,
28/01/2017,Home,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,K,4,2,Corp,,,,,,,
28/01/2017,Home ,Tom,Corp,Wayland,Weyland Consortium: Building a Better World,Beyoken Challenge Deck (v0.3),,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Zoe,S,6,8,Runner,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.6),,Chris,Corp,NBN,Harishchandra Ent.: Where You're the Star,24/7 Boom,,Tom,S,7,5,Runner,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.7)(54 Card),,Chris,Runner,Shaper,"Rielle ""Kit"" Peddler: Transhuman",??,,Tom,K,0,5,Corp,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.7)(54 Card),,Tim,Runner,Criminal,"Armand ""Geist"" Walker: Tech Lord",Generic Giest ,,Tom,S,5,2,Corp,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.6),,Tim,Corp,NBN,NBN: Making News,Tag taxing,,Tom,S,8,3,Runner,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.6),,Colin,Corp,Wayland,Blue Sun: Powering the Future,Psycho Sun,,Colin,S,6,8,Corp,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.7)(54 Card),,Colin,Runner,Anarch,Edward Kim: Humanity's Hammer,,,Tom,S,4,0,Corp,,Timmed win,,,,,
29/01/2017,Cheep Thrills ,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.7)(54 Card),,Matt,Runner,Anarch,Valencia Estevez: The Angel of Cayambe,,,Tom,K,0,6,Corp,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.6),,Matt,Corp,NBN,Near-Earth Hub: Broadcast Center,Power Shutdown Combo,,Matt,K,6,1,Corp,,Need to.lean could combos,,,,,
29/01/2017,Cheep Thrills ,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB (v8.7)(54 Card),,Matt,Runner,Anarch,Valencia Estevez: The Angel of Cayambe,,,Tom,K,2,6,Corp,,,,,,,
29/01/2017,Cheep Thrills ,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.6),,Colin,Corp,Wayland,Blue Sun: Powering the Future,,,Colin,S,4,7,Corp,,,,,,,
